NISCODE;admin;ID;poverty_S;criminality_index;income_index;gini_ineq_coef;minimum_sub_income;pop15;pop1564;pop65;pop_density;ratio_FM;foreigners;euro_foreigners;noneuro_foreigners;average_HHsize;one_person_HH;one_parent_HH;active_pop;unemployed;employment_rate_1564;higher_degree;owner_buildings;average_age_pop;married;reg_partnership;commuters;employees;self_employed;moved_in;couples_with_children;couples_without_children;habitants
11001;AARTSELAAR;108;3.97456279809221;5.23663804203519;131.429424938421;.334616126;.231076255164204;.1428;.6525;.2047;1311.99;101.873;.0324;.0187;.0137;2.4;.2374;.0736;.6828;.0308;.6617;.3474;.7992;44.04733483;.5793;.03;.1661;.8392;.15;.0914;.3013;.3631;14335
11002;ANTWERPEN;11;12.425976111613;16.5676545155132;93.5761730098549;.311479199;.817940167607102;.1811;.645;.1739;2437.35;101.6542;.1788;.0795;.0993;2.12;.4505;.1026;.6299;.099;.5675;.2564;.5213;39.834813961;.4754;.0295;.1709;.859;.1325;.1531;.2005;.2066;498473
11004;BOECHOUT;127;5.73927530195752;6.28133602273189;117.592701145329;.324780093;.227915749764225;.1641;.6639;.172;617.96;101.5793;.0301;.0166;.0135;2.49;.2607;.0836;.6787;.0341;.6555;.3782;.7772;41.518498655;.5337;.0273;.1386;.8188;.1641;.0865;.332;.3029;12764
11005;BOOM;174;4.62962962962963;12.6360586029376;100.070260367588;.276846564;.308749854363276;.1848;.6313;.184;2313.8;102.111;.0772;.0335;.0438;2.31;.3424;.0922;.6837;.0627;.6408;.2092;.6756;40.615628892;.5109;.0272;.1836;.898;.0938;.1243;.268;.2703;17042
11007;BORSBEEK;91;3.1390134529148;9.53139273855343;112.34867855959;.285449752;.557021401348578;.1522;.6643;.1835;2611.86;107.1862;.0646;.0358;.0288;2.22;.3229;.0992;.71;.0489;.6752;.2483;.5763;42.056841112;.5091;.0325;.1221;.8814;.1078;.1228;.255;.2979;10235
11008;BRASSCHAAT;17;3.21389098947123;7.82219801941947;124.237073716252;.371665498;.214471461891102;.146;.6494;.2046;967.82;106.9893;.0882;.0692;.019;2.36;.2854;.0945;.6616;.0395;.6354;.3254;.7286;43.602001748;.5447;.0243;.136;.8014;.1886;.1037;.2873;.3074;37256
11009;BRECHT;12;3.33617482951023;5.16281707363347;109.988761617221;.311272008;.13617143266681;.1641;.6841;.1518;306.58;101.8336;.0495;.0426;.0069;2.54;.2167;.0753;.7016;.036;.6763;.2411;.7971;40.682056931;.574;.0368;.1085;.8209;.1588;.0873;.3533;.3268;27849
11013;EDEGEM;136;1.84749748068525;5.8199922166105;129.451767667147;.337378876;.27060387390809;.1407;.6294;.2299;2447.7;107.3226;.0508;.0274;.0234;2.28;.3188;.082;.677;.039;.6506;.3855;.7474;44.537157326;.5358;.0255;.182;.8372;.1545;.0893;.269;.31;21178
11016;ESSEN;3;3.68186492972232;5.70531150920971;97.5763918966001;.312987995;.392807745504841;.17;.6732;.1568;378.31;99.8554;.2093;.1927;.0166;2.52;.2396;.0793;.6581;.0388;.6326;.2354;.8004;40.558166583;.5849;.0385;.2223;.829;.1512;.0897;.3496;.3088;17963
11018;HEMIKSEM;109;2.11451899926725;6.90983317751193;105.514438406217;.257628951;.33003300330033;.1839;.6464;.1696;1902.47;102.9025;.034;.0167;.0173;2.38;.2844;.0831;.7072;.0436;.6764;.2161;.774;40.453783774;.525;.0407;.1352;.8987;.0945;.1134;.302;.3011;10346
