"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TechNative: While technologies such as #AI, #MachineLearning, #bots, #BigData &amp; #IoT disrupt all aspects of business and industry, embr…",FALSE,0,NA,2018-01-29 15:18:40,FALSE,NA,"957996422636474368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TechNativeWire",25,TRUE,FALSE,NA,NA
"2","RT @kdnuggets: Using AutoML to Generate #MachineLearning Pipelines with TPOT https://t.co/jRYSNYJuqk @mattmayo13 https://t.co/6oJK2BSXmN",FALSE,0,NA,2018-01-29 15:18:38,FALSE,NA,"957996413253799936",NA,"<a href=""http://umeton.com"" rel=""nofollow"">rtapp315156161</a>","renato_umeton",2,TRUE,FALSE,NA,NA
"3","RT @pierrepinna: #MachineLearning Won’t Reach Its Potential Without The Human Element

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>A Conversation with Sarah Catanzaro (@sarahcat21) o…",FALSE,0,NA,2018-01-29 15:18:35,FALSE,NA,"957996402017259520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AzurFlorian",56,TRUE,FALSE,NA,NA
"4","RT @TechNative: David Mytton from @serverdensity explains how to cut through the #MachineLearning buzzwords https://t.co/Eyc43O2ucR … #BigD…",FALSE,0,NA,2018-01-29 15:18:34,FALSE,NA,"957996396031959040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TechNativeWire",7,TRUE,FALSE,NA,NA
"5","Check out the top tech trends that made a difference in 2017, as discussed at an @oracleopenworld developers roundt… https://t.co/hOLUa8rVws",FALSE,0,NA,2018-01-29 15:18:06,TRUE,NA,"957996278314602498",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Mythics",0,FALSE,FALSE,NA,NA
"6","RT @DeepLearn007: MedyMatch tech for pinpointing brain bleeds gets FDA nod for quick approval
#AI #MachineLearning #DeepLearning #ML #DL #H…",FALSE,0,NA,2018-01-29 15:18:02,FALSE,NA,"957996263861080066",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DuflotValeria",131,TRUE,FALSE,NA,NA
"7","RT @pierrepinna: Engineers Design Artificial Synapse For “Brain-On-A-Chip” Hardware 

https://t.co/sGIAmklzvx v/ @mit
#AI #MachineLearning…",FALSE,0,NA,2018-01-29 15:17:59,FALSE,NA,"957996252410589189",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AzurFlorian",84,TRUE,FALSE,NA,NA
"8","RT @kdnuggets: 50+ #DataScience and #MachineLearning Cheat Sheets #KDN https://t.co/GqThBKetCT",FALSE,0,NA,2018-01-29 15:17:58,FALSE,NA,"957996248287645696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hero_Majora",10,TRUE,FALSE,NA,NA
"9","RT @apanisson: #OpenPosition at ISI Foundation - we are searching for Data Scientists to work with Applied #MachineLearning in Finance. #AM…",FALSE,0,NA,2018-01-29 15:17:40,FALSE,NA,"957996170512564224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","svscarpino",4,TRUE,FALSE,NA,NA
"10","RT @SAP: Create, run, consume and maintain #machinelearning apps with ease by using algorithms that require no data-science skills. https:/…",FALSE,0,NA,2018-01-29 15:17:35,FALSE,NA,"957996149910245377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FabioladelaPaz1",12,TRUE,FALSE,NA,NA
"11","“...enabling them to learn better and faster with each interaction and provide a better solution, each time”… https://t.co/90Yhjz6FQx",FALSE,0,NA,2018-01-29 15:17:27,TRUE,NA,"957996117773479938",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeagleInc",0,FALSE,FALSE,NA,NA
"12","Register for virtual event of the year, #ITOMsummit 2018 Online! See featured select recorded sessions from 6 diffe… https://t.co/rSEfov1MLB",FALSE,0,NA,2018-01-29 15:16:58,TRUE,NA,"957995995169742849",NA,"<a href=""http://www.everyonesocial.com"" rel=""nofollow"">EveryoneSocial</a>","VivitWorldwide",0,FALSE,FALSE,NA,NA
